Gyro X, Gyro Y, Gyro Z, Accel X, Accel Y, Accel Z
0.14, -0.11, -0.02, 0.15, 0.05, 9.83
0.18, 0.02, 0.05, 0.19, 0.04, 9.81
0.08, 0.01, -0.07, 0.20, 0.05, 9.80
0.02, 0.11, 0.05, 0.17, 0.05, 9.79
0.05, 0.06, 0.06, 0.14, 0.08, 9.79
0.01, 0.07, -0.07, 0.17, 0.06, 9.77
0.04, 0.17, -0.09, 0.14, 0.05, 9.78
0.06, 0.19, -0.06, 0.16, 0.02, 9.80
0.03, -0.21, -0.05, 0.16, 0.04, 9.84
0.00, -0.04, -0.05, 0.19, -0.00, 9.81
0.04, 0.03, -0.05, 0.16, 0.06, 9.83
0.02, -0.03, -0.01, 0.11, 0.00, 9.87
0.04, 0.20, 0.08, 0.19, 0.05, 9.85
0.05, 0.18, 0.05, 0.17, 0.06, 9.80
0.10, -0.05, -0.02, 0.18, 0.02, 9.75
0.19, 0.01, -0.07, 0.17, 0.03, 9.79
0.10, -0.04, -0.08, 0.16, 0.00, 9.82
0.03, -0.05, -0.06, 0.19, 0.04, 9.84
0.06, -0.03, -0.11, 0.15, 0.03, 9.84
0.01, -0.14, -0.04, 0.15, 0.02, 9.85
0.08, 0.10, -0.05, 0.20, 0.01, 9.79
0.24, 0.13, -0.21, 0.16, 0.02, 9.80
0.18, 0.08, -0.04, 0.13, 0.02, 9.78
0.09, 0.00, 0.02, 0.15, 0.07, 9.78
0.18, -0.13, 0.02, 0.15, 0.06, 9.75
0.21, 0.04, 0.08, 0.16, 0.04, 9.83
0.12, 0.14, 0.06, 0.14, 0.04, 9.81
0.00, 0.16, -0.06, 0.15, 0.05, 9.79
0.04, 0.11, -0.10, 0.21, 0.06, 9.84
0.04, -0.01, -0.08, 0.20, 0.04, 9.85
0.16, 0.02, -0.03, 0.18, 0.03, 9.83
0.10, 0.14, 0.11, 0.18, 0.05, 9.82
0.02, 0.02, -0.04, 0.15, 0.04, 9.80
0.06, 0.08, -0.02, 0.14, 0.04, 9.83
0.05, 0.07, 0.02, 0.19, 0.02, 9.83
0.06, -0.04, -0.02, 0.15, 0.03, 9.82
-0.03, 0.02, 0.10, 0.17, 0.04, 9.76
-0.03, -0.02, 0.03, 0.17, 0.03, 9.77
0.00, -0.08, -0.06, 0.15, 0.05, 9.83
-0.12, 0.05, 0.09, 0.17, 0.04, 9.78
0.04, 0.11, -0.11, 0.14, 0.03, 9.79
0.11, 0.10, 0.02, 0.15, 0.06, 9.84
0.04, 0.12, 0.05, 0.17, 0.01, 9.88
0.21, 0.11, 0.08, 0.15, 0.05, 9.84
0.05, -0.03, -0.04, 0.14, 0.01, 9.83
0.14, 0.03, -0.05, 0.15, 0.03, 9.86
0.16, -0.03, 0.13, 0.17, 0.02, 9.82
0.05, -0.11, 0.09, 0.11, 0.02, 9.82
-0.01, 0.02, 0.07, 0.14, 0.01, 9.86
-0.05, 0.13, 0.02, 0.13, 0.03, 9.87
0.20, 0.02, 0.07, 0.12, 0.02, 9.81
0.21, -0.02, -0.04, 0.14, -0.01, 9.78
-0.09, 0.08, 0.01, 0.12, 0.01, 9.85
0.04, -0.01, 0.07, 0.14, 0.03, 9.75
0.03, -0.06, -0.08, 0.17, 0.05, 9.77
0.05, 0.08, 0.05, 0.15, 0.07, 9.79
0.05, 0.11, -0.03, 0.17, 0.01, 9.80
0.13, -0.06, -0.04, 0.19, -0.02, 9.79
0.02, 0.10, -0.10, 0.15, 0.02, 9.87
0.07, -0.01, -0.01, 0.19, 0.04, 9.86
0.05, -0.01, 0.05, 0.15, 0.03, 9.88
0.00, 0.05, -0.08, 0.12, 0.01, 9.80
0.08, 0.04, -0.02, 0.16, 0.02, 9.83
0.12, 0.05, 0.21, 0.12, 0.01, 9.81
0.17, -0.02, -0.04, 0.14, 0.04, 9.81
0.09, -0.03, -0.14, 0.20, 0.09, 9.79
0.12, -0.07, -0.01, 0.21, 0.07, 9.81
0.07, -0.05, 0.02, 0.18, 0.03, 9.81
0.05, 0.05, 0.09, 0.14, 0.04, 9.77
0.19, 0.03, 0.14, 0.19, 0.03, 9.84
0.11, -0.02, -0.06, 0.15, 0.03, 9.87
0.14, -0.05, -0.03, 0.17, 0.00, 9.77
0.12, -0.10, -0.02, 0.13, 0.00, 9.78
0.18, 0.04, 0.07, 0.15, 0.01, 9.85
0.20, 0.13, 0.08, 0.17, 0.05, 9.87
0.03, -0.14, -0.01, 0.16, 0.02, 9.83
0.03, -0.12, -0.11, 0.18, 0.03, 9.79
-0.01, 0.06, -0.06, 0.13, 0.04, 9.82
-0.10, 0.13, -0.17, 0.09, 0.00, 9.88
-0.08, 0.11, -0.04, 0.12, 0.00, 9.80
-0.11, 0.14, -0.11, 0.13, -0.00, 9.78
-0.08, 0.02, -0.24, 0.16, 0.01, 9.76
-0.02, -0.22, -0.24, 0.09, -0.00, 9.76
0.07, -0.18, -0.24, 0.13, 0.04, 9.78
0.05, -0.09, -0.14, 0.15, 0.03, 9.77
0.11, -0.12, -0.09, 0.16, 0.01, 9.81
0.24, -0.12, -0.13, 0.18, 0.07, 9.82
0.42, 0.05, -0.06, 0.16, 0.06, 9.73
0.26, 0.18, 0.06, 0.15, 0.05, 9.82
0.46, -0.02, -0.15, 0.11, 0.03, 9.78
0.34, 0.16, -0.10, 0.14, 0.06, 9.75
0.25, 0.11, -0.01, 0.15, 0.07, 9.85
0.29, -0.06, 0.08, 0.17, 0.09, 9.79
0.20, -0.05, 0.14, 0.15, 0.01, 9.83
0.07, 0.09, -0.02, 0.14, 0.03, 9.79
