Gyro X, Gyro Y, Gyro Z, Accel X, Accel Y, Accel Z
-0.06, 0.03, 0.06, -0.01, 0.09, 9.84
-0.02, 0.03, -0.06, 0.00, 0.06, 9.79
-0.07, 0.00, -0.08, -0.01, 0.09, 9.78
-0.09, -0.05, -0.17, 0.01, 0.07, 9.77
-0.09, -0.12, 0.04, -0.02, 0.04, 9.79
-0.03, 0.02, 0.12, -0.05, 0.09, 9.87
-0.12, 0.05, -0.01, -0.03, 0.10, 9.77
-0.12, 0.10, -0.10, -0.00, 0.06, 9.78
-0.05, 0.18, 0.05, 0.02, 0.06, 9.89
-0.01, 0.04, 0.05, -0.04, 0.03, 9.84
0.03, -0.05, 0.00, -0.00, 0.03, 9.76
-0.01, 0.08, 0.05, -0.06, 0.07, 9.81
-0.08, -0.08, 0.04, -0.04, 0.05, 9.85
-0.07, -0.07, -0.11, -0.05, 0.06, 9.79
-0.04, -0.08, -0.01, -0.00, 0.06, 9.78
-0.06, -0.11, -0.01, -0.05, 0.06, 9.82
-0.02, -0.01, -0.11, -0.01, 0.08, 9.81
-0.04, -0.02, 0.03, 0.01, 0.04, 9.77
-0.08, -0.05, 0.05, -0.03, 0.03, 9.77
-0.05, 0.13, -0.04, -0.02, 0.04, 9.87
0.04, 0.10, -0.02, -0.04, 0.03, 9.84
-0.02, -0.03, -0.04, -0.05, 0.02, 9.80
-0.05, 0.10, -0.02, -0.04, 0.05, 9.81
0.03, 0.00, 0.02, 0.01, 0.06, 9.79
-0.13, 0.08, 0.00, -0.02, 0.07, 9.80
-0.02, 0.11, -0.05, -0.04, 0.10, 9.81
-0.05, -0.02, 0.04, -0.01, 0.03, 9.78
-0.09, -0.06, -0.07, -0.04, 0.06, 9.74
-0.06, -0.08, -0.06, -0.03, 0.09, 9.84
0.02, 0.03, -0.09, 0.01, 0.08, 9.84
-0.21, 0.06, 0.11, -0.03, 0.07, 9.81
-0.08, 0.00, -0.05, -0.03, 0.05, 9.72
0.01, 0.08, -0.03, -0.02, 0.05, 9.86
-0.02, 0.10, -0.04, -0.04, 0.06, 9.82
-0.09, 0.05, 0.11, -0.02, 0.07, 9.81
0.05, -0.10, 0.07, -0.02, 0.07, 9.84
-0.01, 0.04, 0.01, 0.05, 0.03, 9.81
-0.02, 0.05, -0.09, 0.01, 0.08, 9.83
-0.04, 0.01, 0.08, -0.05, 0.07, 9.77
-0.02, 0.09, 0.06, -0.02, 0.03, 9.79
0.00, -0.02, 0.02, -0.02, 0.08, 9.80
-0.02, 0.07, 0.03, -0.03, 0.08, 9.77
-0.05, 0.02, 0.06, -0.01, 0.05, 9.84
-0.02, -0.04, -0.11, -0.00, 0.08, 9.87
-0.06, 0.11, 0.04, 0.00, 0.07, 9.86
-0.10, 0.10, -0.02, -0.01, 0.07, 9.79
-0.10, 0.04, 0.04, -0.02, 0.07, 9.78
-0.04, 0.12, 0.05, 0.02, 0.06, 9.79
-0.15, 0.02, 0.08, -0.04, 0.02, 9.88
-0.11, 0.05, -0.02, -0.01, 0.06, 9.84
-0.18, 0.06, -0.15, 0.04, 0.03, 9.86
-0.14, 0.05, 0.04, -0.00, 0.10, 9.80
-0.09, 0.09, 0.05, -0.02, 0.08, 9.78
-0.05, -0.08, -0.05, -0.00, 0.06, 9.78
-0.08, -0.06, 0.04, -0.00, 0.05, 9.78
-0.11, 0.05, -0.01, -0.01, 0.06, 9.78
-0.11, 0.08, 0.11, 0.00, 0.07, 9.78
-0.11, 0.06, 0.05, -0.05, 0.03, 9.85
-0.21, -0.03, -0.03, -0.01, 0.07, 9.82
-0.09, -0.04, -0.04, -0.03, 0.08, 9.85
-0.08, 0.02, -0.08, -0.01, 0.06, 9.78
-0.09, -0.08, 0.07, -0.03, 0.03, 9.75
-0.04, -0.08, -0.06, -0.02, 0.05, 9.79
-0.02, -0.02, 0.00, -0.02, 0.04, 9.80
-0.05, -0.01, -0.08, 0.01, 0.02, 9.82
-0.05, -0.02, -0.08, 0.01, 0.03, 9.80
0.06, -0.14, 0.03, 0.02, 0.01, 9.77
0.02, -0.10, 0.08, 0.03, 0.04, 9.80
-0.11, -0.11, 0.02, 0.00, 0.04, 9.82
0.01, 0.00, -0.02, 0.01, 0.10, 9.83
-0.08, 0.04, 0.03, -0.05, 0.07, 9.81
-0.07, 0.05, -0.11, -0.01, 0.08, 9.79
-0.04, 0.04, -0.10, -0.01, 0.06, 9.82
0.02, -0.03, 0.06, -0.01, 0.06, 9.80
-0.06, 0.07, 0.06, 0.00, 0.06, 9.90
-0.05, -0.01, 0.04, -0.06, 0.07, 9.81
-0.10, -0.18, -0.14, -0.05, 0.07, 9.86
-0.16, -0.01, -0.05, 0.01, 0.08, 9.85
-0.12, 0.13, -0.02, 0.00, 0.08, 9.81
-0.10, 0.11, -0.08, -0.02, 0.05, 9.73
-0.11, 0.05, 0.04, -0.05, 0.10, 9.77
0.02, 0.04, 0.02, -0.00, 0.10, 9.74
0.00, 0.04, 0.04, -0.04, 0.11, 9.84
-0.18, 0.01, 0.07, 0.01, 0.07, 9.79
-0.16, 0.05, 0.01, -0.06, 0.07, 9.81
-0.10, -0.04, -0.04, 0.00, 0.10, 9.83
-0.11, -0.03, 0.00, -0.04, 0.09, 9.83
-0.05, 0.03, 0.07, -0.09, 0.09, 9.88
-0.04, -0.11, 0.00, -0.00, 0.07, 9.91
-0.13, -0.04, 0.02, -0.02, 0.09, 9.87
-0.11, 0.12, -0.08, 0.04, 0.04, 9.81
-0.02, -0.16, 0.03, -0.03, 0.09, 9.78
0.02, 0.01, 0.03, -0.02, 0.04, 9.74
-0.01, 0.00, 0.02, -0.03, 0.04, 9.77
